"","Major","Gender","Admission"
"1970","Other","M","Rejected"
"1971","Other","M","Rejected"
"1972","Other","M","Rejected"
"1973","Other","M","Rejected"
"1974","Other","M","Accepted"
"1975","Other","M","Accepted"
"1976","F","F","Rejected"
"1977","Other","M","Rejected"
"1978","A","M","Rejected"
"1979","F","M","Rejected"
"1980","F","M","Rejected"
"1981","Other","M","Rejected"
"1982","C","M","Rejected"
"1983","C","F","Rejected"
"1984","Other","M","Rejected"
"1985","Other","F","Accepted"
"1986","Other","M","Accepted"
"1987","Other","M","Rejected"
"1988","Other","M","Rejected"
"1989","F","F","Rejected"
"1990","Other","M","Rejected"
"1991","Other","M","Rejected"
"1992","Other","F","Accepted"
"1993","C","F","Rejected"
"1994","F","M","Rejected"
"1995","Other","M","Rejected"
"1996","A","M","Accepted"
"1997","C","M","Accepted"
"1998","Other","F","Accepted"
"1999","Other","M","Rejected"
"2000","Other","F","Rejected"
"2001","F","F","Accepted"
"2002","Other","M","Rejected"
"2003","Other","F","Accepted"
"2004","A","M","Accepted"
"2005","F","F","Rejected"
"2006","Other","F","Rejected"
"2007","Other","F","Rejected"
"2008","Other","M","Accepted"
"2009","Other","M","Rejected"
"2010","Other","F","Accepted"
"2011","Other","M","Rejected"
"2012","Other","M","Accepted"
"2013","D","F","Accepted"
"2014","C","M","Rejected"
"2015","Other","M","Rejected"
"2016","Other","M","Accepted"
"2017","B","M","Rejected"
"2018","Other","M","Accepted"
"2019","Other","F","Rejected"
"2020","Other","M","Rejected"
"2021","A","M","Rejected"
"2022","A","M","Accepted"
"2023","Other","M","Rejected"
"2024","F","M","Rejected"
"2025","F","F","Rejected"
"2026","Other","M","Rejected"
"2027","E","F","Rejected"
"2028","C","M","Rejected"
"2029","Other","M","Rejected"
"2030","C","F","Rejected"
"2031","D","F","Accepted"
"2032","Other","M","Rejected"
"2033","Other","F","Rejected"
"2034","Other","M","Accepted"
"2035","Other","F","Rejected"
"2036","A","M","Accepted"
"2037","Other","M","Accepted"
"2038","Other","M","Accepted"
"2039","Other","F","Rejected"
"2040","Other","M","Accepted"
"2041","Other","F","Rejected"
"2042","Other","M","Rejected"
"2043","Other","F","Rejected"
"2044","Other","M","Accepted"
"2045","D","F","Rejected"
"2046","B","M","Accepted"
"2047","Other","M","Rejected"
"2048","Other","M","Accepted"
"2049","A","M","Rejected"
"2050","Other","M","Rejected"
"2051","Other","M","Rejected"
"2052","Other","M","Rejected"
"2053","C","M","Rejected"
"2054","Other","M","Rejected"
"2055","Other","F","Rejected"
"2056","Other","M","Accepted"
"2057","Other","M","Rejected"
"2058","Other","F","Accepted"
"2059","Other","M","Rejected"
"2060","F","M","Rejected"
"2061","Other","F","Rejected"
"2062","A","M","Accepted"
"2063","Other","M","Rejected"
"2064","Other","M","Rejected"
"2065","Other","M","Accepted"
"2066","Other","M","Rejected"
"2067","B","M","Rejected"
"2068","F","M","Rejected"
"2069","Other","F","Accepted"
"2070","Other","M","Rejected"
"2071","C","F","Rejected"
"2072","C","F","Rejected"
"2073","Other","F","Rejected"
"2074","Other","M","Accepted"
"2075","Other","M","Accepted"
"2076","Other","F","Rejected"
"2077","D","F","Rejected"
"2078","Other","M","Accepted"
"2079","Other","M","Accepted"
"2080","Other","F","Accepted"
"2081","A","M","Rejected"
"2082","Other","M","Rejected"
"2083","A","M","Accepted"
"2084","D","F","Rejected"
"2085","Other","M","Accepted"
"2086","B","M","Rejected"
"2087","Other","M","Accepted"
"2088","B","M","Rejected"
"2089","Other","F","Rejected"
"2090","Other","F","Rejected"
"2091","C","F","Rejected"
"2092","Other","M","Rejected"
"2093","A","M","Rejected"
"2094","Other","F","Rejected"
"2095","Other","M","Accepted"
"2096","A","M","Accepted"
"2097","E","M","Rejected"
"2098","Other","M","Accepted"
"2099","Other","M","Rejected"
"2100","Other","F","Accepted"
"2101","Other","F","Rejected"
"2102","Other","M","Rejected"
"2103","Other","M","Accepted"
"2104","Other","M","Accepted"
"2105","A","F","Accepted"
"2106","Other","M","Rejected"
"2107","C","M","Rejected"
"2108","Other","M","Accepted"
"2109","D","M","Accepted"
"2110","Other","F","Accepted"
"2111","D","F","Rejected"
"2112","B","M","Accepted"
"2113","Other","M","Rejected"
"2114","Other","M","Rejected"
"2115","Other","M","Accepted"
"2116","Other","M","Rejected"
"2117","Other","M","Accepted"
"2118","Other","F","Rejected"
"2119","Other","F","Rejected"
"2120","E","F","Rejected"
"2121","A","M","Rejected"
"2122","Other","M","Accepted"
"2123","Other","M","Accepted"
"2124","Other","F","Rejected"
"2125","Other","F","Accepted"
"2126","Other","M","Rejected"
"2127","E","F","Accepted"
"2128","Other","M","Rejected"
"2129","Other","M","Rejected"
"2130","Other","M","Rejected"
"2131","A","M","Accepted"
"2132","Other","M","Rejected"
"2133","Other","M","Accepted"
"2134","E","F","Rejected"
"2135","Other","M","Accepted"
"2136","B","M","Rejected"
"2137","C","F","Rejected"
"2138","F","M","Rejected"
"2139","Other","F","Rejected"
"2140","Other","F","Rejected"
"2141","Other","F","Accepted"
"2142","E","F","Rejected"
"2143","Other","M","Rejected"
"2144","Other","M","Rejected"
"2145","D","F","Accepted"
"2146","F","F","Rejected"
"2147","D","M","Rejected"
"2148","Other","M","Accepted"
"2149","Other","F","Rejected"
"2150","Other","F","Accepted"
"2151","Other","M","Accepted"
"2152","F","F","Rejected"
"2153","Other","M","Accepted"
"2154","A","M","Rejected"
"2155","A","M","Accepted"
"2156","Other","M","Accepted"
"2157","A","M","Accepted"
"2158","Other","M","Accepted"
"2159","Other","F","Rejected"
"2160","A","M","Accepted"
"2161","Other","M","Rejected"
"2162","Other","M","Rejected"
"2163","Other","M","Accepted"
"2164","Other","F","Accepted"
"2165","Other","M","Rejected"
"2166","Other","F","Accepted"
"2167","Other","M","Rejected"
"2168","Other","F","Rejected"
"2169","F","M","Rejected"
"2170","Other","M","Accepted"
"2171","Other","F","Rejected"
"2172","Other","M","Accepted"
"2173","Other","M","Rejected"
"2174","Other","M","Rejected"
"2175","Other","M","Rejected"
"2176","Other","M","Accepted"
"2177","Other","M","Rejected"
"2178","A","M","Accepted"
"2179","F","F","Rejected"
"2180","Other","F","Rejected"
"2181","Other","M","Accepted"
"2182","Other","M","Rejected"
"2183","B","M","Accepted"
"2184","Other","F","Accepted"
"2185","Other","M","Rejected"
"2186","D","M","Rejected"
"2187","Other","M","Rejected"
"2188","Other","M","Accepted"
"2189","Other","M","Rejected"
"2190","Other","M","Rejected"
"2191","Other","M","Rejected"
"2192","Other","M","Accepted"
"2193","E","M","Accepted"
"2194","D","F","Rejected"
"2195","Other","F","Accepted"
"2196","A","M","Accepted"
"2197","D","F","Rejected"
"2198","A","M","Accepted"
"2199","Other","M","Rejected"
"2200","B","M","Accepted"
"2201","Other","M","Accepted"
"2202","Other","M","Accepted"
"2203","Other","M","Accepted"
"2204","Other","F","Rejected"
"2205","E","M","Rejected"
"2206","Other","M","Rejected"
"2207","Other","M","Rejected"
"2208","Other","M","Accepted"
"2209","Other","M","Rejected"
"2210","B","M","Rejected"
"2211","Other","F","Accepted"
"2212","B","M","Accepted"
"2213","A","M","Rejected"
"2214","Other","M","Rejected"
"2215","Other","M","Rejected"
"2216","Other","M","Accepted"
"2217","Other","M","Accepted"
"2218","E","F","Accepted"
"2219","Other","M","Rejected"
"2220","Other","M","Rejected"
"2221","C","F","Rejected"
"2222","Other","M","Rejected"
"2223","Other","F","Rejected"
"2224","Other","F","Rejected"
"2225","Other","F","Accepted"
"2226","C","M","Accepted"
"2227","Other","M","Rejected"
"2228","Other","F","Accepted"
"2229","Other","F","Accepted"
"2230","D","F","Rejected"
"2231","Other","M","Rejected"
"2232","Other","M","Accepted"
"2233","D","F","Rejected"
"2234","Other","M","Rejected"
"2235","Other","M","Accepted"
"2236","Other","F","Accepted"
"2237","Other","M","Accepted"
"2238","B","M","Rejected"
"2239","Other","M","Accepted"
"2240","C","M","Accepted"
"2241","Other","F","Rejected"
"2242","Other","M","Rejected"
"2243","Other","M","Rejected"
"2244","Other","F","Rejected"
"2245","Other","M","Accepted"
"2246","Other","F","Rejected"
"2247","Other","F","Rejected"
"2248","A","M","Rejected"
"2249","Other","M","Accepted"
"2250","F","F","Rejected"
"2251","Other","M","Rejected"
"2252","E","F","Rejected"
"2253","D","M","Rejected"
"2254","Other","M","Rejected"
"2255","D","M","Accepted"
"2256","E","F","Rejected"
"2257","Other","M","Accepted"
"2258","Other","M","Rejected"
"2259","A","M","Accepted"
"2260","Other","M","Rejected"
"2261","Other","F","Rejected"
"2262","D","F","Rejected"
"2263","Other","F","Rejected"
"2264","A","M","Rejected"
"2265","D","F","Accepted"
"2266","A","M","Rejected"
"2267","Other","F","Accepted"
"2268","E","F","Rejected"
"2269","Other","M","Rejected"
"2270","Other","M","Rejected"
"2271","D","M","Rejected"
"2272","Other","M","Accepted"
"2273","Other","M","Rejected"
"2274","Other","F","Rejected"
"2275","Other","M","Rejected"
"2276","A","M","Accepted"
"2277","Other","M","Rejected"
"2278","Other","F","Rejected"
"2279","C","F","Rejected"
"2280","Other","F","Rejected"
"2281","Other","M","Accepted"
"2282","E","M","Rejected"
"2283","A","M","Rejected"
"2284","Other","M","Accepted"
"2285","A","M","Rejected"
"2286","Other","M","Rejected"
"2287","F","F","Rejected"
"2288","Other","M","Accepted"
"2289","B","M","Accepted"
"2290","E","F","Rejected"
"2291","Other","F","Rejected"
"2292","A","M","Rejected"
"2293","Other","F","Accepted"
"2294","B","M","Rejected"
"2295","Other","M","Accepted"
"2296","Other","M","Rejected"
"2297","Other","M","Accepted"
"2298","Other","M","Rejected"
"2299","Other","M","Accepted"
"2300","Other","M","Rejected"
"2301","F","M","Accepted"
"2302","Other","M","Rejected"
"2303","Other","M","Accepted"
"2304","Other","M","Accepted"
"2305","Other","M","Rejected"
"2306","Other","M","Accepted"
"2307","F","F","Rejected"
"2308","B","M","Rejected"
"2309","E","M","Rejected"
"2310","F","M","Accepted"
"2311","Other","M","Rejected"
"2312","Other","M","Rejected"
"2313","Other","M","Accepted"
"2314","Other","M","Accepted"
"2315","Other","M","Rejected"
"2316","Other","F","Rejected"
"2317","Other","M","Rejected"
"2318","Other","F","Accepted"
"2319","Other","M","Accepted"
"2320","D","F","Rejected"
"2321","C","F","Rejected"
"2322","Other","M","Rejected"
"2323","Other","M","Rejected"
"2324","A","M","Accepted"
"2325","Other","M","Accepted"
"2326","A","M","Rejected"
"2327","Other","F","Rejected"
"2328","Other","F","Accepted"
"2329","F","M","Rejected"
"2330","Other","M","Accepted"
"2331","C","F","Rejected"
"2332","C","M","Accepted"
"2333","A","M","Accepted"
"2334","Other","F","Rejected"
"2335","F","F","Rejected"
"2336","Other","M","Rejected"
"2337","E","F","Rejected"
"2338","Other","F","Rejected"
"2339","Other","M","Rejected"
"2340","Other","M","Accepted"
"2341","C","M","Rejected"
"2342","F","F","Rejected"
"2343","Other","M","Rejected"
"2344","Other","M","Rejected"
"2345","Other","F","Rejected"
"2346","F","M","Rejected"
"2347","Other","F","Accepted"
"2348","A","M","Accepted"
"2349","Other","M","Rejected"
"2350","Other","M","Rejected"
"2351","Other","M","Accepted"
"2352","E","M","Rejected"
"2353","Other","M","Rejected"
"2354","Other","M","Rejected"
"2355","B","M","Rejected"
"2356","Other","M","Rejected"
"2357","Other","M","Accepted"
"2358","Other","M","Rejected"
"2359","Other","M","Accepted"
"2360","Other","M","Accepted"
"2361","A","M","Accepted"
"2362","Other","F","Accepted"
"2363","Other","M","Rejected"
"2364","B","M","Rejected"
"2365","Other","F","Rejected"
"2366","Other","M","Accepted"
"2367","Other","F","Rejected"
"2368","Other","F","Rejected"
"2369","Other","M","Accepted"
"2370","Other","M","Rejected"
"2371","Other","M","Rejected"
"2372","Other","M","Rejected"
"2373","F","M","Rejected"
"2374","Other","F","Accepted"
"2375","Other","F","Rejected"
"2376","E","F","Rejected"
"2377","Other","M","Accepted"
"2378","Other","M","Rejected"
"2379","Other","M","Accepted"
"2380","Other","M","Accepted"
"2381","Other","M","Accepted"
"2382","Other","M","Rejected"
"2383","Other","F","Rejected"
"2384","A","M","Accepted"
"2385","Other","F","Accepted"
"2386","Other","M","Rejected"
"2387","B","M","Accepted"
"2388","C","F","Rejected"
"2389","Other","M","Rejected"
"2390","Other","M","Rejected"
"2391","C","F","Rejected"
"2392","F","F","Rejected"
"2393","Other","F","Rejected"
"2394","Other","M","Rejected"
"2395","Other","F","Accepted"
"2396","Other","F","Rejected"
"2397","Other","M","Rejected"
"2398","Other","M","Accepted"
"2399","Other","F","Rejected"
"2400","C","F","Accepted"
"2401","Other","F","Accepted"
"2402","A","M","Accepted"
"2403","C","M","Rejected"
"2404","E","F","Rejected"
"2405","F","M","Rejected"
"2406","Other","M","Rejected"
"2407","A","M","Accepted"
"2408","Other","M","Rejected"
"2409","Other","M","Accepted"
"2410","Other","M","Accepted"
"2411","Other","F","Rejected"
"2412","D","F","Rejected"
"2413","B","F","Accepted"
"2414","Other","M","Rejected"
"2415","Other","F","Rejected"
"2416","E","F","Rejected"
"2417","Other","M","Rejected"
"2418","Other","M","Rejected"
"2419","Other","M","Rejected"
"2420","Other","M","Rejected"
"2421","Other","F","Rejected"
"2422","Other","M","Rejected"
"2423","Other","M","Rejected"
"2424","E","F","Rejected"
"2425","Other","M","Accepted"
"2426","Other","M","Accepted"
"2427","Other","F","Rejected"
"2428","Other","F","Rejected"
"2429","A","M","Rejected"
"2430","D","F","Accepted"
"2431","E","F","Rejected"
"2432","Other","F","Rejected"
"2433","Other","M","Accepted"
"2434","A","M","Accepted"
"2435","Other","M","Rejected"
"2436","B","M","Accepted"
"2437","C","F","Rejected"
"2438","E","F","Rejected"
"2439","Other","F","Rejected"
"2440","A","M","Rejected"
"2441","C","F","Rejected"
"2442","E","F","Rejected"
"2443","Other","M","Rejected"
"2444","Other","M","Accepted"
"2445","A","M","Rejected"
"2446","Other","M","Rejected"
"2447","Other","M","Rejected"
"2448","E","F","Rejected"
"2449","Other","M","Rejected"
"2450","Other","F","Rejected"
"2451","B","M","Accepted"
"2452","Other","M","Rejected"
"2453","Other","M","Rejected"
"2454","Other","M","Accepted"
"2455","E","M","Accepted"
"2456","C","M","Accepted"
"2457","Other","F","Rejected"
"2458","Other","M","Rejected"
"2459","C","M","Rejected"
"2460","B","M","Accepted"
"2461","Other","M","Rejected"
"2462","F","M","Rejected"
"2463","B","M","Rejected"
"2464","Other","M","Rejected"
"2465","Other","M","Rejected"
"2466","C","M","Accepted"
"2467","Other","M","Accepted"
"2468","D","M","Rejected"
"2469","Other","M","Rejected"
"2470","C","F","Accepted"
"2471","Other","F","Accepted"
"2472","C","F","Rejected"
"2473","Other","M","Accepted"
"2474","Other","M","Rejected"
"2475","Other","M","Rejected"
"2476","E","F","Accepted"
"2477","Other","M","Accepted"
"2478","C","F","Rejected"
"2479","Other","M","Rejected"
"2480","Other","F","Accepted"
"2481","Other","F","Accepted"
"2482","Other","M","Accepted"
"2483","C","M","Accepted"
"2484","A","M","Rejected"
"2485","Other","F","Rejected"
"2486","D","M","Rejected"
"2487","Other","F","Rejected"
"2488","Other","M","Rejected"
"2489","Other","M","Rejected"
"2490","D","M","Accepted"
"2491","F","M","Rejected"
"2492","Other","M","Accepted"
"2493","Other","F","Rejected"
"2494","Other","M","Rejected"
"2495","Other","M","Rejected"
"2496","Other","F","Rejected"
"2497","Other","F","Rejected"
"2498","B","M","Accepted"
"2499","Other","M","Rejected"
"2500","D","M","Rejected"
"2501","Other","M","Rejected"
"2502","C","M","Rejected"
"2503","Other","M","Accepted"
"2504","Other","F","Accepted"
"2505","Other","M","Rejected"
"2506","A","M","Accepted"
"2507","B","M","Accepted"
"2508","Other","M","Accepted"
"2509","E","F","Rejected"
"2510","Other","F","Rejected"
"2511","Other","F","Rejected"
"2512","A","M","Accepted"
"2513","Other","F","Accepted"
"2514","B","M","Accepted"
"2515","Other","F","Rejected"
"2516","Other","M","Rejected"
"2517","B","M","Accepted"
"2518","Other","M","Rejected"
"2519","Other","F","Accepted"
"2520","D","M","Rejected"
"2521","Other","F","Rejected"
"2522","Other","M","Rejected"
"2523","Other","M","Rejected"
"2524","Other","F","Rejected"
"2525","Other","M","Accepted"
"2526","Other","M","Accepted"
"2527","Other","M","Rejected"
"2528","Other","F","Rejected"
"2529","Other","F","Rejected"
"2530","Other","F","Accepted"
"2531","Other","F","Accepted"
"2532","Other","F","Accepted"
"2533","B","M","Accepted"
"2534","Other","F","Accepted"
"2535","E","F","Rejected"
"2536","E","F","Rejected"
"2537","Other","M","Accepted"
"2538","Other","M","Accepted"
"2539","B","M","Accepted"
"2540","D","M","Rejected"
"2541","Other","M","Accepted"
"2542","Other","M","Rejected"
"2543","Other","M","Accepted"
"2544","Other","M","Accepted"
"2545","Other","M","Accepted"
"2546","A","M","Accepted"
"2547","Other","M","Accepted"
"2548","Other","M","Rejected"
"2549","Other","F","Rejected"
"2550","Other","M","Accepted"
"2551","Other","M","Rejected"
"2552","Other","M","Rejected"
"2553","Other","M","Rejected"
"2554","Other","M","Rejected"
"2555","Other","F","Accepted"
"2556","Other","M","Rejected"
"2557","C","M","Rejected"
"2558","D","M","Rejected"
"2559","Other","M","Rejected"
"2560","F","M","Rejected"
"2561","B","M","Accepted"
"2562","E","F","Rejected"
"2563","Other","M","Rejected"
"2564","Other","M","Accepted"
"2565","C","F","Accepted"
"2566","D","M","Rejected"
"2567","A","M","Accepted"
"2568","F","F","Rejected"
"2569","Other","M","Rejected"
"2570","Other","M","Rejected"
"2571","Other","F","Rejected"
"2572","Other","M","Rejected"
"2573","B","M","Rejected"
"2574","Other","M","Accepted"
"2575","Other","M","Accepted"
"2576","Other","M","Accepted"
"2577","C","M","Rejected"
"2578","Other","M","Accepted"
"2579","Other","M","Accepted"
"2580","E","M","Accepted"
"2581","F","F","Accepted"
"2582","A","M","Accepted"
"2583","Other","M","Rejected"
"2584","C","F","Rejected"
"2585","A","M","Accepted"
"2586","Other","M","Rejected"
"2587","A","M","Rejected"
"2588","D","F","Rejected"
"2589","E","F","Accepted"
"2590","Other","F","Accepted"
"2591","A","M","Accepted"
"2592","B","M","Accepted"
"2593","A","M","Accepted"
"2594","Other","M","Rejected"
"2595","Other","F","Rejected"
"2596","B","M","Accepted"
"2597","D","M","Rejected"
"2598","C","M","Accepted"
"2599","D","M","Accepted"
"2600","Other","F","Rejected"
"2601","A","M","Rejected"
"2602","Other","M","Rejected"
"2603","F","M","Rejected"
"2604","A","M","Accepted"
"2605","Other","M","Rejected"
"2606","B","M","Rejected"
"2607","A","M","Accepted"
"2608","D","M","Rejected"
"2609","Other","M","Rejected"
"2610","Other","M","Accepted"
"2611","Other","M","Accepted"
"2612","C","F","Accepted"
"2613","Other","M","Rejected"
"2614","A","M","Accepted"
"2615","Other","M","Rejected"
"2616","C","F","Rejected"
"2617","Other","M","Rejected"
"2618","Other","M","Accepted"
"2619","Other","M","Rejected"
"2620","A","M","Accepted"
"2621","Other","M","Rejected"
"2622","Other","M","Rejected"
"2623","Other","M","Accepted"
"2624","D","F","Accepted"
"2625","Other","M","Accepted"
"2626","Other","F","Accepted"
"2627","Other","F","Rejected"
"2628","D","M","Rejected"
"2629","Other","M","Accepted"
"2630","Other","M","Accepted"
"2631","Other","F","Accepted"
"2632","Other","F","Rejected"
"2633","Other","F","Rejected"
"2634","Other","F","Accepted"
"2635","Other","M","Accepted"
"2636","Other","M","Rejected"
"2637","Other","F","Rejected"
"2638","Other","M","Rejected"
"2639","Other","F","Rejected"
"2640","A","M","Accepted"
"2641","E","M","Rejected"
"2642","Other","M","Accepted"
"2643","E","M","Accepted"
"2644","A","M","Accepted"
"2645","A","M","Rejected"
"2646","A","M","Rejected"
"2647","Other","M","Rejected"
"2648","C","M","Rejected"
"2649","B","M","Accepted"
"2650","C","F","Accepted"
"2651","Other","M","Rejected"
"2652","Other","M","Accepted"
"2653","Other","F","Rejected"
"2654","F","M","Rejected"
"2655","B","M","Accepted"
"2656","Other","F","Rejected"
"2657","Other","F","Rejected"
"2658","Other","M","Rejected"
"2659","B","M","Accepted"
"2660","A","M","Accepted"
"2661","D","F","Rejected"
"2662","Other","M","Accepted"
"2663","Other","M","Rejected"
"2664","Other","F","Rejected"
"2665","Other","M","Accepted"
"2666","Other","M","Rejected"
"2667","Other","M","Rejected"
"2668","C","M","Accepted"
"2669","B","M","Rejected"
"2670","E","F","Rejected"
"2671","A","M","Accepted"
"2672","B","M","Rejected"
"2673","Other","M","Rejected"
"2674","C","F","Rejected"
"2675","Other","M","Rejected"
"2676","Other","M","Rejected"
"2677","Other","M","Accepted"
"2678","A","M","Accepted"
"2679","Other","M","Accepted"
"2680","Other","M","Accepted"
"2681","A","M","Rejected"
"2682","Other","M","Rejected"
"2683","A","M","Rejected"
"2684","Other","F","Accepted"
"2685","Other","M","Rejected"
"2686","Other","F","Rejected"
"2687","D","M","Rejected"
"2688","F","F","Rejected"
"2689","Other","M","Rejected"
"2690","Other","F","Accepted"
"2691","Other","M","Rejected"
"2692","F","F","Rejected"
"2693","Other","F","Rejected"
"2694","Other","M","Accepted"
"2695","Other","F","Rejected"
"2696","A","M","Accepted"
"2697","Other","M","Rejected"
"2698","Other","M","Rejected"
"2699","D","F","Rejected"
"2700","F","M","Rejected"
"2701","D","F","Accepted"
"2702","F","M","Rejected"
"2703","A","M","Accepted"
"2704","Other","F","Accepted"
"2705","C","F","Accepted"
"2706","Other","M","Rejected"
"2707","Other","F","Rejected"
"2708","Other","F","Accepted"
"2709","Other","F","Accepted"
"2710","Other","M","Accepted"
"2711","B","M","Accepted"
"2712","F","M","Rejected"
"2713","Other","F","Accepted"
"2714","F","F","Rejected"
"2715","Other","M","Rejected"
"2716","Other","F","Accepted"
"2717","Other","F","Rejected"
"2718","Other","M","Accepted"
"2719","B","F","Rejected"
"2720","A","M","Rejected"
"2721","Other","M","Accepted"
"2722","Other","F","Rejected"
"2723","A","M","Accepted"
"2724","C","F","Rejected"
"2725","D","M","Accepted"
"2726","Other","M","Accepted"
"2727","Other","M","Rejected"
"2728","C","M","Rejected"
"2729","Other","M","Accepted"
"2730","Other","M","Accepted"
"2731","F","M","Rejected"
"2732","Other","F","Accepted"
"2733","Other","M","Rejected"
"2734","Other","M","Rejected"
"2735","F","F","Rejected"
"2736","E","F","Rejected"
"2737","F","F","Rejected"
"2738","Other","M","Accepted"
"2739","Other","M","Accepted"
"2740","Other","M","Accepted"
"2741","Other","F","Accepted"
"2742","Other","F","Accepted"
"2743","Other","M","Rejected"
"2744","Other","M","Accepted"
"2745","Other","M","Rejected"
"2746","Other","M","Rejected"
"2747","F","M","Rejected"
"2748","Other","M","Accepted"
"2749","F","F","Rejected"
"2750","Other","M","Accepted"
"2751","Other","F","Rejected"
"2752","Other","M","Rejected"
"2753","E","M","Rejected"
"2754","Other","F","Rejected"
"2755","Other","F","Accepted"
"2756","B","M","Rejected"
"2757","C","F","Rejected"
"2758","Other","M","Rejected"
"2759","E","F","Accepted"
"2760","C","M","Accepted"
"2761","Other","F","Accepted"
"2762","Other","M","Rejected"
"2763","B","M","Accepted"
"2764","D","M","Rejected"
"2765","A","M","Accepted"
"2766","Other","M","Rejected"
"2767","Other","M","Accepted"
"2768","Other","M","Rejected"
"2769","Other","F","Rejected"
"2770","Other","F","Accepted"
"2771","Other","M","Accepted"
"2772","Other","M","Accepted"
"2773","Other","M","Accepted"
"2774","Other","M","Rejected"
"2775","Other","M","Accepted"
"2776","A","M","Accepted"
"2777","Other","M","Accepted"
"2778","Other","F","Rejected"
"2779","B","M","Accepted"
"2780","F","M","Accepted"
"2781","Other","M","Accepted"
"2782","F","M","Rejected"
"2783","A","M","Accepted"
"2784","D","M","Accepted"
"2785","Other","F","Rejected"
"2786","E","F","Rejected"
"2787","Other","F","Rejected"
"2788","Other","M","Accepted"
"2789","Other","F","Accepted"
"2790","Other","F","Rejected"
"2791","A","M","Accepted"
"2792","E","F","Rejected"
"2793","Other","M","Rejected"
"2794","Other","M","Rejected"
"2795","C","F","Rejected"
"2796","Other","M","Rejected"
"2797","Other","M","Rejected"
"2798","Other","M","Accepted"
"2799","D","M","Accepted"
"2800","Other","F","Rejected"
"2801","Other","M","Rejected"
"2802","Other","M","Rejected"
"2803","Other","M","Rejected"
"2804","Other","M","Accepted"
"2805","B","M","Rejected"
"2806","D","F","Accepted"
"2807","A","F","Accepted"
"2808","Other","M","Accepted"
"2809","Other","M","Rejected"
"2810","Other","F","Rejected"
"2811","D","F","Rejected"
"2812","Other","M","Accepted"
"2813","Other","M","Accepted"
"2814","Other","M","Rejected"
"2815","C","M","Rejected"
"2816","A","M","Accepted"
"2817","F","M","Rejected"
"2818","Other","F","Rejected"
"2819","Other","F","Rejected"
"2820","D","M","Rejected"
"2821","Other","M","Rejected"
"2822","Other","M","Rejected"
"2823","Other","M","Rejected"
"2824","Other","M","Rejected"
"2825","D","M","Accepted"
"2826","B","M","Rejected"
"2827","Other","M","Accepted"
"2828","A","M","Rejected"
"2829","Other","F","Accepted"
"2830","Other","M","Accepted"
"2831","Other","M","Rejected"
"2832","Other","F","Rejected"
"2833","Other","M","Rejected"
"2834","D","F","Accepted"
"2835","D","F","Accepted"
"2836","F","F","Rejected"
"2837","E","M","Accepted"
"2838","Other","F","Accepted"
"2839","Other","M","Accepted"
"2840","Other","M","Rejected"
"2841","Other","M","Rejected"
"2842","Other","M","Rejected"
"2843","Other","F","Rejected"
"2844","Other","M","Accepted"
"2845","E","M","Accepted"
"2846","Other","M","Rejected"
"2847","D","F","Rejected"
"2848","F","F","Rejected"
"2849","Other","M","Rejected"
"2850","Other","M","Accepted"
"2851","E","F","Accepted"
"2852","A","M","Accepted"
"2853","D","F","Rejected"
"2854","Other","M","Accepted"
"2855","E","M","Rejected"
"2856","Other","M","Rejected"
"2857","Other","M","Rejected"
"2858","Other","F","Rejected"
"2859","Other","F","Rejected"
"2860","Other","M","Accepted"
"2861","F","F","Rejected"
"2862","Other","M","Accepted"
"2863","Other","F","Accepted"
"2864","D","F","Rejected"
"2865","D","F","Rejected"
"2866","C","F","Rejected"
"2867","Other","M","Rejected"
"2868","E","M","Rejected"
"2869","A","M","Accepted"
"2870","Other","M","Accepted"
"2871","Other","M","Accepted"
"2872","Other","M","Rejected"
"2873","Other","M","Rejected"
"2874","Other","M","Accepted"
"2875","Other","F","Accepted"
"2876","Other","M","Accepted"
"2877","D","M","Rejected"
"2878","A","M","Rejected"
"2879","A","M","Accepted"
"2880","Other","M","Rejected"
"2881","Other","M","Accepted"
"2882","Other","F","Rejected"
"2883","Other","M","Rejected"
"2884","E","M","Rejected"
"2885","Other","M","Rejected"
"2886","F","F","Rejected"
"2887","Other","M","Accepted"
"2888","Other","M","Rejected"
"2889","Other","M","Accepted"
"2890","Other","M","Accepted"
"2891","D","M","Accepted"
"2892","Other","F","Rejected"
"2893","Other","M","Rejected"
"2894","Other","M","Rejected"
"2895","Other","M","Rejected"
"2896","Other","M","Rejected"
"2897","B","M","Accepted"
"2898","Other","F","Rejected"
"2899","F","M","Rejected"
"2900","Other","M","Rejected"
"2901","Other","M","Accepted"
"2902","Other","F","Rejected"
"2903","Other","M","Accepted"
"2904","F","M","Rejected"
"2905","Other","M","Accepted"
"2906","F","M","Rejected"
"2907","A","M","Rejected"
"2908","Other","M","Accepted"
"2909","C","F","Rejected"
"2910","Other","F","Rejected"
"2911","Other","F","Rejected"
"2912","Other","F","Rejected"
"2913","Other","M","Accepted"
"2914","C","F","Rejected"
"2915","A","M","Accepted"
"2916","Other","M","Rejected"
"2917","Other","F","Rejected"
"2918","Other","F","Accepted"
"2919","Other","M","Accepted"
"2920","Other","F","Rejected"
"2921","C","F","Rejected"
"2922","D","F","Rejected"
"2923","Other","F","Accepted"
"2924","Other","M","Accepted"
